Order,Seasonal Order,AIC,BIC
"(1, 2, 1)","(1, 1, 0, 52)",1611.2464510588197,1621.2456897401407
"(1, 2, 1)","(1, 1, 1, 52)",1594.4134010244136,1606.8565828730743
"(1, 2, 2)","(0, 0, 0, 52)",3579.8657654118915,3592.8957469000025
"(1, 2, 2)","(0, 0, 1, 52)",2763.33620443177,2778.0444165448166
"(1, 2, 2)","(0, 1, 0, 52)",2544.19041001467,2555.956979705107
"(1, 2, 2)","(0, 1, 1, 52)",1562.012301174684,1574.398985247075
"(1, 2, 2)","(1, 0, 0, 52)",2566.3063366353563,2581.0854719233625
"(1, 2, 2)","(1, 0, 1, 52)",11028.280918799046,11045.930773334701
"(1, 2, 2)","(1, 1, 0, 52)",1599.673403618259,1612.1724519699103
"(1, 2, 2)","(1, 1, 1, 52)",1563.135041696104,1577.9990625829732
"(1, 2, 3)","(0, 0, 0, 52)",3502.106510012237,3518.36787715247
"(1, 2, 3)","(0, 0, 1, 52)",6907.74429974727,6925.351143346054
"(1, 2, 3)","(0, 1, 0, 52)",2521.32983446491,2536.0022041305638
"(1, 2, 3)","(0, 1, 1, 52)",1543.6419915043427,1558.4374402162703
"(1, 2, 3)","(1, 0, 0, 52)",2589.4975851406716,2607.232547486279
"(1, 2, 3)","(1, 0, 1, 52)",10946.181381948805,10966.72269948072
"(1, 2, 3)","(1, 1, 0, 52)",1598.1848840589694,1613.1837420809509
"(1, 2, 3)","(1, 1, 1, 52)",1548.544196011977,1565.805552842559
"(1, 2, 4)","(0, 0, 0, 52)",3485.546639697514,3505.0287841304767
"(1, 2, 4)","(0, 0, 1, 52)",4212.605203811594,4233.095979607694
"(1, 2, 4)","(0, 1, 0, 52)",2498.7168060412605,2516.2803281522038
"(1, 2, 4)","(0, 1, 1, 52)",1520.3963912775118,1537.5768223512864
"(1, 2, 4)","(1, 0, 0, 52)",2564.5836510608206,2585.2744404640293
"(1, 2, 4)","(1, 0, 1, 52)",8537.51752776977,8560.935557251029
"(1, 2, 4)","(1, 1, 0, 52)",1594.357493809633,1611.8561615019448
"(1, 2, 4)","(1, 1, 1, 52)",1521.4356968609795,1541.0704752310075
"(1, 2, 5)","(0, 0, 0, 52)",3468.549886685303,3491.2421157907206
"(1, 2, 5)","(0, 0, 1, 52)",9864.289329272877,9887.649176679502
"(1, 2, 5)","(0, 1, 0, 52)",2484.648168137275,2505.088034618072
"(1, 2, 5)","(0, 1, 1, 52)",1504.109115796029,1523.6503258479515
"(1, 2, 5)","(1, 0, 0, 52)",2568.380218202616,2592.026834663426
"(1, 2, 5)","(1, 0, 1, 52)",10641.67760550729,10667.957433839743
"(1, 2, 5)","(1, 1, 0, 52)",1593.96282390298,1613.9613012656223
"(1, 2, 5)","(1, 1, 1, 52)",1504.6797655457542,1526.663626854167
"(1, 2, 6)","(0, 0, 0, 52)",3450.890993864078,3476.7825295667176
"(1, 2, 6)","(0, 0, 1, 52)",2543.3237130479706,2569.5376070195953
"(1, 2, 6)","(0, 1, 0, 52)",2455.4541533234947,2478.755392409383
"(1, 2, 6)","(0, 1, 1, 52)",1482.9797301141552,1504.857081303745
"(1, 2, 6)","(1, 0, 0, 52)",2565.3614936972117,2591.963937215623
"(1, 2, 6)","(1, 0, 1, 52)",5737.855747338499,5766.98229619586
"(1, 2, 6)","(1, 1, 0, 52)",1591.479002551799,1613.9772895847716
"(1, 2, 6)","(1, 1, 1, 52)",1483.0312435701494,1507.3394115585825
"(2, 0, 0)","(0, 0, 0, 52)",3572.6607246856443,3582.4797233613353
"(2, 0, 0)","(0, 0, 1, 52)",1.3741993787961725e+17,1.3741993787961725e+17
"(2, 0, 0)","(0, 1, 0, 52)",2532.3561354831,2541.24466937388
"(2, 0, 0)","(0, 1, 1, 52)",1615.9399001655174,1626.0270544737136
"(2, 0, 0)","(1, 0, 0, 52)",2562.1932931365677,2574.0446716576075
"(2, 0, 0)","(1, 0, 1, 52)",7203.028584820871,7217.842807972171
"(2, 0, 0)","(1, 1, 0, 52)",1594.6304812934595,1604.673919319527
"(2, 0, 0)","(1, 1, 1, 52)",1593.5190640539827,1606.073361586567
"(2, 0, 1)","(0, 0, 0, 52)",3569.740693988452,3582.832692222707
"(2, 0, 1)","(0, 0, 1, 52)",944.7642525480715,959.578475699371
"(2, 0, 1)","(0, 1, 0, 52)",2529.970066070087,2541.8214445911267
"(2, 0, 1)","(0, 1, 1, 52)",1594.1854786338854,1606.7397761664697
"(2, 0, 1)","(1, 0, 0, 52)",2553.0888282173146,2567.9030513686143
"(2, 0, 1)","(1, 0, 1, 52)",903.9704168436691,921.7474846252286
"(2, 0, 1)","(1, 1, 0, 52)",1594.155642080793,1606.7099396133774
"(2, 0, 1)","(1, 1, 1, 52)",1595.7164012585454,1610.7815582976464
"(2, 0, 2)","(0, 0, 0, 52)",3541.5080110538947,3557.8473018492114
"(2, 0, 2)","(0, 0, 1, 52)",7878.036304270287,7895.771266615894
"(2, 0, 2)","(0, 1, 0, 52)",2513.5487959616694,2528.3279312496757
"(2, 0, 2)","(0, 1, 1, 52)",1579.9357268011754,1594.934584823157
"(2, 0, 2)","(1, 0, 0, 52)",2551.47100150647,2569.2480692880295
"(2, 0, 2)","(1, 0, 1, 52)",4216.226414761319,4236.917204164528
"(2, 0, 2)","(1, 1, 0, 52)",1598.47342523595,1613.5385822750509
"(2, 0, 2)","(1, 1, 1, 52)",1581.2331292444521,1598.7317969367639
"(2, 0, 3)","(0, 0, 0, 52)",3525.895290924981,3545.4714320584103
"(2, 0, 3)","(0, 0, 1, 52)",10483.52040546721,10504.161724699858
"(2, 0, 3)","(0, 1, 0, 52)",2496.763937467269,2514.456496809538
"(2, 0, 3)","(0, 1, 1, 52)",1565.8573908206524,1583.2778454087775
"(2, 0, 3)","(1, 0, 0, 52)",2553.997642882555,2574.737555294374
"(2, 0, 3)","(1, 0, 1, 52)",10885.323083169598,10908.913162292623
"(2, 0, 3)","(1, 1, 0, 52)",1599.9901770023525,1617.5661935479704
"(2, 0, 3)","(1, 1, 1, 52)",1565.8677777482199,1585.776868706077
"(2, 0, 4)","(0, 0, 0, 52)",3515.011817367295,3537.8142849714895
"(2, 0, 4)","(0, 0, 1, 52)",11418.410195280945,11441.943334661819
"(2, 0, 4)","(0, 1, 0, 52)",2481.5641312378466,2502.1556281961116
"(2, 0, 4)","(0, 1, 1, 52)",1546.3945653682022,1566.2132598840278
"(2, 0, 4)","(1, 0, 0, 52)",2553.381795857263,2577.0845528993423
"(2, 0, 4)","(1, 0, 1, 52)",2839.9231912043397,2866.3979730078236
"(2, 0, 4)","(1, 1, 0, 52)",1598.0629750397763,1618.1498510919112
"(2, 0, 4)","(1, 1, 1, 52)",1548.882041439197,1571.178072769501
"(2, 0, 5)","(0, 0, 0, 52)",3493.8100812034445,3519.8282686278176
"(2, 0, 5)","(0, 0, 1, 52)",3200.6294674921064,3227.0397328902827
"(2, 0, 5)","(0, 1, 0, 52)",2463.143650232812,2486.6194416978574
"(2, 0, 5)","(0, 1, 1, 52)",1528.564278723793,1550.7574517916842
"(2, 0, 5)","(1, 0, 0, 52)",2556.2094937649053,2582.8750954372445
"(2, 0, 5)","(1, 0, 1, 52)",10701.442570890898,10730.787310222206
"(2, 0, 5)","(1, 1, 0, 52)",1601.2851954628954,1623.8829310215472
"(2, 0, 5)","(1, 1, 1, 52)",1530.1293802421467,1554.7884614286925
"(2, 0, 6)","(0, 0, 0, 52)",3477.6091638859143,3506.832380535359
"(2, 0, 6)","(0, 0, 1, 52)",11037.511863388027,11066.784400239598
"(2, 0, 6)","(0, 1, 0, 52)",2446.3878794014554,2472.7331625678703
"(2, 0, 6)","(0, 1, 1, 52)",1510.9672788894072,1535.5107518519424
"(2, 0, 6)","(1, 0, 0, 52)",2559.9016195130707,2589.53006581567
"(2, 0, 6)","(1, 0, 1, 52)",1460.1637819977118,1492.3635725344411
"(2, 0, 6)","(1, 1, 0, 52)",1600.8047576056076,1625.913352670776
"(2, 0, 6)","(1, 1, 1, 52)",1513.4548087119833,1540.452628970772
"(2, 1, 0)","(0, 0, 0, 52)",3547.5164578883787,3557.3200323655687
"(2, 1, 0)","(0, 0, 1, 52)",5209.711279269075,5221.562657790115
"(2, 1, 0)","(0, 1, 0, 52)",2523.8188532147365,2532.6863343875402
"(2, 1, 0)","(0, 1, 1, 52)",1606.2125156756128,1616.2559537016803
"(2, 1, 0)","(1, 0, 0, 52)",2509.573928427762,2521.397236658167
"(2, 1, 0)","(1, 0, 1, 52)",6006.630153445127,6021.4092887331335
"(2, 1, 0)","(1, 1, 0, 52)",1585.111080417205,1595.110319098526
"(2, 1, 0)","(1, 1, 1, 52)",1580.3209425278922,1592.8199908795434
"(2, 1, 1)","(0, 0, 0, 52)",3539.238837439708,3552.310270075961
"(2, 1, 1)","(0, 0, 1, 52)",10075.119261602129,10089.898396890136
"(2, 1, 1)","(0, 1, 0, 52)",2524.715694229395,2536.5390024598
"(2, 1, 1)","(0, 1, 1, 52)",1579.1857985346319,1591.6848468862831
"(2, 1, 1)","(1, 0, 0, 52)",2518.934340499497,2533.7134757875033
"(2, 1, 1)","(1, 0, 1, 52)",4494.247076173185,4511.982038518792
"(2, 1, 1)","(1, 1, 0, 52)",1582.0386361079115,1594.5376844595628
"(2, 1, 1)","(1, 1, 1, 52)",1585.699488346013,1600.6983463679944
"(2, 1, 2)","(0, 0, 0, 52)",3523.736207727662,3540.0496586721865
"(2, 1, 2)","(0, 0, 1, 52)",4946.632546221749,4964.3251055640185
"(2, 1, 2)","(0, 1, 0, 52)",2509.746948500504,2524.490747952395
"(2, 1, 2)","(0, 1, 1, 52)",1563.8818955248507,1578.8137137432436
"(2, 1, 2)","(1, 0, 0, 52)",2530.7326604073037,2548.467622752911
"(2, 1, 2)","(1, 0, 1, 52)",5162.060173287101,5182.701492519748
"(2, 1, 2)","(1, 1, 0, 52)",1587.5976775244874,1602.5965355464689
"(2, 1, 2)","(1, 1, 1, 52)",1569.4444833056057,1586.8649378937307
"(2, 1, 3)","(0, 0, 0, 52)",3508.231920904266,3527.776893136433
"(2, 1, 3)","(0, 0, 1, 52)",11059.927744122917,11080.519241081181
"(2, 1, 3)","(0, 1, 0, 52)",2479.3318945397373,2496.981749075393
"(2, 1, 3)","(0, 1, 1, 52)",1545.6135738681298,1562.9549315694774
"(2, 1, 3)","(1, 0, 0, 52)",2532.9243981177565,2553.6151875209653
"(2, 1, 3)","(1, 0, 1, 52)",6372.922772977147,6396.455912358022
"(2, 1, 3)","(1, 1, 0, 52)",1590.2344076807742,1607.733075373086
"(2, 1, 3)","(1, 1, 1, 52)",1554.2340837217298,1574.0527782375555
"(2, 1, 4)","(0, 0, 0, 52)",3490.939171067289,3513.7050850636156
"(2, 1, 4)","(0, 0, 1, 52)",11371.170770985951,11394.646562450996
"(2, 1, 4)","(0, 1, 0, 52)",2462.205850592176,2482.747168124091
"(2, 1, 4)","(0, 1, 1, 52)",1525.76523998167,1545.4925049309068
"(2, 1, 4)","(1, 0, 0, 52)",2536.5765528010156,2560.2231692618257
"(2, 1, 4)","(1, 0, 1, 52)",8576.433950335533,8602.844215733709
"(2, 1, 4)","(1, 1, 0, 52)",1586.5312061973214,1606.5296835599634
"(2, 1, 4)","(1, 1, 1, 52)",1525.3026911184384,1547.4958641863295
"(2, 1, 5)","(0, 0, 0, 52)",3470.3700880809934,3496.3462806582775
"(2, 1, 5)","(0, 0, 1, 52)",11075.957304915062,11102.302588081477
"(2, 1, 5)","(0, 1, 0, 52)",2456.4652559030837,2479.8832853843414
"(2, 1, 5)","(0, 1, 1, 52)",1511.2927800493005,1533.381905715582
"(2, 1, 5)","(1, 0, 0, 52)",2537.7829517701825,2564.385395288594
"(2, 1, 5)","(1, 0, 1, 52)",5415.296616180983,5444.569153032555
"(2, 1, 5)","(1, 1, 0, 52)",1582.9956413270977,1605.4939283600702
"(2, 1, 5)","(1, 1, 1, 52)",1510.3207307390821,1534.8642037016173
"(2, 1, 6)","(0, 0, 0, 52)",3456.112958361516,3485.288681497053
"(2, 1, 6)","(0, 0, 1, 52)",11053.363932182752,11082.563741441034
"(2, 1, 6)","(0, 1, 0, 52)",2428.687618882053,2454.967447214506
"(2, 1, 6)","(0, 1, 1, 52)",1491.5958668569735,1516.0223794218766
"(2, 1, 6)","(1, 0, 0, 52)",2541.3683316730053,2570.926602249018
"(2, 1, 6)","(1, 0, 1, 52)",11109.852067564567,11141.971857748676
"(2, 1, 6)","(1, 1, 0, 52)",1584.5450560141965,1609.5431527174992
"(2, 1, 6)","(1, 1, 1, 52)",1493.803649403701,1520.6728132250944
"(2, 2, 0)","(0, 0, 0, 52)",3614.088226948038,3623.876297514753
"(2, 2, 0)","(0, 0, 1, 52)",5548.454848123791,5560.278156354196
"(2, 2, 0)","(0, 1, 0, 52)",2575.7131072710254,2584.55938694216
"(2, 2, 0)","(0, 1, 1, 52)",1634.5756985737366,1644.5749372550576
"(2, 2, 0)","(1, 0, 0, 52)",2563.9718569188817,2575.7668964803943
"(2, 2, 0)","(1, 0, 1, 52)",11118.797501640525,11133.541301092417
"(2, 2, 0)","(1, 1, 0, 52)",1611.8980024369152,1621.8525479158438
"(2, 2, 0)","(1, 1, 1, 52)",1609.232433369473,1621.6756152181338
"(2, 2, 1)","(0, 0, 0, 52)",3606.3438854606684,3619.394646216288
"(2, 2, 1)","(0, 0, 1, 52)",5832.08148996621,5846.8252894181005
"(2, 2, 1)","(0, 1, 0, 52)",2561.979327579639,2573.7743671411517
"(2, 2, 1)","(0, 1, 1, 52)",1579.8102424887848,1592.2534243374455
"(2, 2, 1)","(1, 0, 0, 52)",2538.372746643202,2553.116546095093
"(2, 2, 1)","(1, 0, 1, 52)",3110.7405136095535,3128.4330729518224
"(2, 2, 1)","(1, 1, 0, 52)",1590.024109804932,1602.4672916535928
"(2, 2, 1)","(1, 1, 1, 52)",1590.0673624004892,1604.999180618882
"(2, 2, 2)","(0, 0, 0, 52)",3525.833731233885,3542.121208094024
"(2, 2, 2)","(0, 0, 1, 52)",4026.123723013549,4043.7735775492047
"(2, 2, 2)","(0, 1, 0, 52)",2539.4559193604937,2554.1641314735402
"(2, 2, 2)","(0, 1, 1, 52)",1557.2942640644771,1572.1582849513463
"(2, 2, 2)","(1, 0, 0, 52)",2539.3041396024464,2556.9966989447153
"(2, 2, 2)","(1, 0, 1, 52)",3958.190974043188,3978.782471001453
"(2, 2, 2)","(1, 1, 0, 52)",1578.6333041825092,1593.565122400902
"(2, 2, 2)","(1, 1, 1, 52)",1558.785025281189,1576.1263829825366
"(2, 2, 3)","(0, 0, 0, 52)",3583.6563811272936,3603.1700216955733
"(2, 2, 3)","(0, 0, 1, 52)",3165.787928589348,3186.329246121263
"(2, 2, 3)","(0, 1, 0, 52)",2525.201581682043,2542.808425280827
"(2, 2, 3)","(0, 1, 1, 52)",1538.0045680819806,1555.2659249125627
